2024 DART Taxonomy('24.9.26.),,,,,
,업종,구분,별도/연결 구분,Link,주석 명칭(Label)
,비금융업,재무제표 본문,연결,'Presentation Link'!A2,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A534,"[D210005] 재무상태표, 유동/비유동법 - 별도 | Statement of financial position, current/non-current - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A1064,"[D220000] 재무상태표, 유동성배열법 - 연결 | Statement of financial position, order of liquidity - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A1592,"[D220005] 재무상태표, 유동성배열법 - 별도 | Statement of financial position, order of liquidity - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A2118,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A2488,"[D310005] 손익계산서, 기능별 분류 - 별도 | Income statement, by function of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A2856,"[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A3201,"[D320005] 손익계산서, 성격별 분류 - 별도 | Income statement, by nature of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A3544,"[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A3584,"[D410005] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 별도 | Statement of comprehensive income - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A3621,"[D420000] 포괄손익계산서, 세전으로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income [alternative] - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A3663,"[D420005] 포괄손익계산서, 세전으로 표시된 OCI 구성요소 - 별도 | Statement of comprehensive income [alternative] - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A3702,"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A4101,"[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A4495,"[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A4896,"[D431425] 단일 포괄손익계산서, 기능별 분류, 세전 - 별도 | Statement of comprehensive income [alternative], by function of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A5292,"[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A5666,"[D432415] 단일 포괄손익계산서, 성격별 분류, 세후 - 별도 | Statement of comprehensive income, by nature of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A6035,"[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A6411,"[D432425] 단일 포괄손익계산서, 성격별 분류, 세전 - 별도 | Statement of comprehensive income [alternative], by nature of expense - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A6782,"[D510000] 현금흐름표, 직접법 - 연결 | Statement of cash flows, direct method - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A7017,"[D510005] 현금흐름표, 직접법 - 별도 | Statement of cash flows, direct method - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A7252,"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements"
,비금융업,재무제표 본문,별도,'Presentation Link'!A7692,"[D520005] 현금흐름표, 간접법 - 별도 | Statement of cash flows, indirect method - Separate financial statements"
,비금융업,재무제표 본문,연결,'Presentation Link'!A8132,[D610000] 자본변동표 - 연결 | Statement of changes in equity - Consolidated financial statements
,비금융업,재무제표 본문,별도,'Presentation Link'!A8194,[D610005] 자본변동표 - 별도 | Statement of changes in equity - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A8254,"[D800100] 주석 - 자산, 부채 및 자본의 세분류 - 연결 | Notes - Subclassifications of assets, liabilities and equities - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A8877,"[D800105] 주석 - 자산, 부채 및 자본의 세분류 - 별도 | Notes - Subclassifications of assets, liabilities and equities - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A9500,[D800200] 주석 - 수익과 비용 분석 - 연결 | Notes - Analysis of income and expense - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A9810,[D800205] 주석 - 수익과 비용 분석 - 별도 | Notes - Analysis of income and expense - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A10120,"[D800300] 주석 - 현금흐름표, 추가공시 - 연결 | Notes - Statement of cash flows, additional disclosures - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A10250,"[D800305] 주석 - 현금흐름표, 추가공시 - 별도 | Notes - Statement of cash flows, additional disclosures - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A10380,"[D800400] 주석 - 자본변동표, 추가공시 - 연결 | Notes - Statement of changes in equity, additional disclosures - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A10426,"[D800405] 주석 - 자본변동표, 추가공시 - 별도 | Notes - Statement of changes in equity, additional disclosures - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A10472,[D800500] 주석 - 주석 목록 - 연결 | Notes - List of notes - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A10612,[D800505] 주석 - 주석 목록 - 별도 | Notes - List of notes - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A10752,[D800600] 주석 - 회계정책 목록 - 연결 | Notes - List of accounting policies - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A10858,[D800605] 주석 - 회계정책 목록 - 별도 | Notes - List of accounting policies - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A10964,[D810000] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11056,[D810005] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 별도 | Notes - Corporate information and statement of IFRS compliance - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11148,[D810010] 주석 - 중요한 판단과 추정불확실성의 주요 원천 - 연결 | Notes - Significant judgements and sources of estimation uncertainty - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11169,[D810015] 주석 - 중요한 판단과 추정불확실성의 주요 원천 - 별도 | Notes - Significant judgements and sources of estimation uncertainty - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11190,"[D811000] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A11254,"[D811005] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 별도 | Notes - Accounting policies, changes in accounting estimates and errors - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A11318,[D813000] 주석 - 중간재무보고 - 연결 | Notes - Interim financial reporting - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11343,[D813005] 주석 - 중간재무보고 - 별도 | Notes - Interim financial reporting - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11368,[D815000] 주석 - 보고기간 후 사건 - 연결 | Notes - Events after reporting period - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11405,[D815005] 주석 - 보고기간 후 사건 - 별도 | Notes - Events after reporting period - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11442,[D816000] 주석 - 초인플레이션 경제에서의 재무보고 - 연결 | Notes - Hyperinflationary reporting - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11458,[D816005] 주석 - 초인플레이션 경제에서의 재무보고 - 별도 | Notes - Hyperinflationary reporting - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11474,[D817000] 주석 - 사업결합 - 연결 | Notes - Business combinations - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11671,[D817005] 주석 - 사업결합 - 별도 | Notes - Business combinations - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11868,[D818000] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11987,[D818005] 주석 - 특수관계자 - 별도 | Notes - Related party - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12106,[D819100] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12169,[D819105] 주석 - 최초채택 - 별도 | Notes - First time adoption - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12232,"[D822100] 주석 - 유형자산 - 연결 | Notes - Property, plant and equipment - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A12347,"[D822105] 주석 - 유형자산 - 별도 | Notes - Property, plant and equipment - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A12462,[D822200] 주석 - 탐사평가자산 - 연결 | Notes - Exploration for and evaluation of mineral resources - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12479,[D822205] 주석 - 탐사평가자산 - 별도 | Notes - Exploration for and evaluation of mineral resources - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12496,[D822300] 주석 - 기타자산 - 연결 | Notes - Other assets - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12564,[D822305] 주석 - 기타자산 - 별도 | Notes - Other assets - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12632,[D822310] 주석 - 기타부채 - 연결 | Notes - Other liabilities - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12696,[D822315] 주석 - 기타부채 - 별도 | Notes - Other liabilities - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12760,[D822320] 주석 - 담보제공자산 - 연결 | Notes - Assets pledged as collateral - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12791,[D822325] 주석 - 담보제공자산 - 별도 | Notes - Assets pledged as collateral - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12822,"[D822380] 주석 - 금융상품/위험회피회계 및 위험관리 - 연결 | Notes - Financial instruments, Hedge accounting and risk management - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A13352,"[D822385] 주석 - 금융상품/위험회피회계 및 위험관리 - 별도 | Notes - Financial instruments, Hedge accounting and risk management - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A13882,[D822390] 주석 - 금융상품 - 연결 | Notes - Financial instruments - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A15108,[D822395] 주석 - 금융상품 - 별도 | Notes - Financial instruments - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A16334,[D822400] 주석 - 차입금 - 연결 | Notes - Borrowings - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A16412,[D822405] 주석 - 차입금 - 별도 | Notes - Borrowings - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A16490,[D822410] 주석 - 현금및현금성자산 - 연결 | Notes - Cash and cash equivalents - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A16518,[D822415] 주석 - 현금및현금성자산 - 별도 | Notes - Cash and cash equivalents - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A16546,[D822420] 주석 - 매출채권 및 기타채권 - 연결 | Notes - Trade and other receivables - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A16658,[D822425] 주석 - 매출채권 및 기타채권 - 별도 | Notes - Trade and other receivables - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A16770,[D822430] 주석 - 범주별 금융상품 - 연결 | Notes - Financial instruments by category - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A16901,[D822435] 주석 - 범주별 금융상품 - 별도 | Notes - Financial instruments by category - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17032,[D822440] 주석 - 금융자산의 양도 - 연결 | Notes - Transfers Of Financial Assets - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17133,[D822445] 주석 - 금융자산의 양도 - 별도 | Notes - Transfers Of Financial Assets - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17234,[D822450] 주석 - 사채 - 연결 | Notes - Bonds - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17297,[D822455] 주석 - 사채 - 별도 | Notes - Bonds - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17360,[D822460] 주석 - 매입채무 및 기타채무 - 연결 | Notes - Trade and other payables - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17423,[D822465] 주석 - 매입채무 및 기타채무 - 별도 | Notes - Trade and other payables - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17486,[D822470] 주석 - 사용이 제한된 금융자산 - 연결 | Notes - Restricted financial assets - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17541,[D822475] 주석 - 사용이 제한된 금융자산 - 별도 | Notes - Restricted financial assets - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17596,[D822480] 주석 - 기타채권 - 연결 | Notes - Non-trade receivables - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17642,[D822485] 주석 - 기타채권 - 별도 | Notes - Non-trade Receivables - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17688,[D822490] 주석 - 기타채무 - 연결 | Notes - Non-trade Payables - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A17745,[D822495] 주석 - 기타채무 - 별도 | Notes - Non-trade payables - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A17802,[D823000] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A18361,[D823005] 주석 - 공정가치측정 - 별도 | Notes - Fair value measurement - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A18920,[D823180] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A19133,[D823185] 주석 - 무형자산 - 별도 | Notes - Intangible assets - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A19346,[D824180] 주석 - 농림어업 - 연결 | Notes - Agriculture - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A19446,[D824185] 주석 - 농림어업 - 별도 | Notes - Agriculture - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A19546,[D824500] 주석 - 규제이연계정 - 연결 | Regulatory deferral accounts - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A19687,[D824505] 주석 - 규제이연계정 - 별도 | Regulatory deferral accounts - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A19828,[D825100] 주석 - 투자부동산 - 연결 | Notes - Investment property - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A19906,[D825105] 주석 - 투자부동산 - 별도 | Notes - Investment property - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A19984,[D825480] 주석 - 별도재무제표 - 연결 | Notes - Separate financial statements - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A20045,[D825485] 주석 - 별도재무제표 - 별도 | Notes - Separate financial statements - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A20106,[D825700] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A20365,[D825705] 주석 - 타 기업에 대한 지분의 공시 - 별도 | Notes - Interests in other entities - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A20624,[D825900] 주석 - 매각예정비유동자산과 중단영업 - 연결 | Notes - Non-current asset held for sale and discontinued operations - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A20673,[D825905] 주석 - 매각예정비유동자산과 중단영업 - 별도 | Notes - Non-current asset held for sale and discontinued operations - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A20722,[D826380] 주석 - 재고자산 - 연결 | Notes - Inventories - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A20754,[D826385] 주석 - 재고자산 - 별도 | Notes - Inventories - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A20786,"[D827570] 주석 - 기타충당부채, 우발부채 및 우발자산에 대한 주석 - 연결 | Notes - Other provisions, contingent liabilities and contingent assets - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A20867,"[D827575] 주석 - 기타충당부채, 우발부채 및 우발자산에 대한 주석 - 별도 | Notes - Other provisions, contingent liabilities and contingent assets - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A20948,"[D827580] 주석 - 우발부채, 우발자산 및 약정사항 - 연결 | Notes - Contingent liabilities, contingent asset and commitments - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A21102,"[D827585] 주석 - 우발부채, 우발자산 및 약정사항 - 별도 | Notes - Contingent liabilities, contingent asset and commitments - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A21256,[D831150] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Revenue from contracts with customers - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A21431,[D831155] 주석 - 고객과의 계약에서 생기는 수익 - 별도 | Notes - Revenue from contracts with customers - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A21606,[D831400] 주석 - 정부보조금 - 연결 | Notes - Government grants - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A21621,[D831405] 주석 - 정부보조금 - 별도 | Notes - Government grants - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A21636,[D832410] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A21745,[D832415] 주석 - 자산손상 - 별도 | Notes - Impairment of assets - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A21854,[D832610] 주석 - 리스(자산및부채) - 연결 | Notes - Leases - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A21986,[D832615] 주석 - 리스(자산및부채) - 별도 | Notes - Leases - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A22118,[D832620] 주석 - 리스부채 - 연결 | Notes - Lease liabilities - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A22164,[D832625] 주석 - 리스부채 - 별도 | Notes - Lease liabilities - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A22210,[D832900] 주석 - 민간투자사업 - 연결 | Notes - Service concession arrangements - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A22240,[D832905] 주석 - 민간투자사업 - 별도 | Notes - Service concession arrangements - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A22270,[D834120] 주석 - 주식기준보상 - 연결 | Notes - Share-based payment arrangements - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A22408,[D834125] 주석 - 주식기준보상 - 별도 | Notes - Share-based payment arrangements - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A22546,[D834300] 주석 - 비용의 성격별 분류 - 연결 | Notes - Expenses by nature - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A22599,[D834305] 주석 - 비용의 성격별 분류 - 별도 | Notes - Expenses by nature - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A22652,"[D834310] 주석 - 판매비와 관리비 - 연결 | Notes - Selling, general and administrative expense - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A22757,"[D834315] 주석 - 판매비와 관리비 - 별도 | Notes - Selling, general and administrative expense - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A22862,[D834320] 주석 - 기타수익과 기타비용 - 연결 | Notes - Other income and expense - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A23010,[D834325] 주석 - 기타수익과 기타비용 - 별도 | Notes - Other income and expense - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A23158,[D834330] 주석 - 금융수익과 금융비용 - 연결 | Notes - Finance income and expense - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A23185,[D834335] 주석 - 금융수익과 금융비용 - 별도 | Notes - Finance income and expense - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A23212,[D834480] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A23530,[D834485] 주석 - 종업원급여 - 별도 | Notes - Employee benefits - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A23848,[D835110] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A23999,[D835115] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A24150,[D836200] 주석 - 차입원가 - 연결 | Notes - Borrowing costs - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A24169,[D836205] 주석 - 차입원가 - 별도 | Notes - Borrowing costs - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A24188,[D836500] 주석 - 보험계약 - 연결 | Notes - Insurance contracts - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A24599,[D836505] 주석 - 보험계약 - 별도 | Notes - Insurance contracts - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A25010,[D836600] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A25444,[D836605] 주석 - 보험계약 (IFRS 17) - 별도 | Notes - Insurance contracts (IFRS 17) - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A25878,[D838000] 주석 - 주당이익 - 연결 | Notes - Earnings per share - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A25968,[D838005] 주석 - 주당이익 - 별도 | Notes - Earnings per share - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A26058,[D842000] 주석 - 환율변동효과 - 연결 | Notes - Effects of changes in foreign exchange rates - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A26084,[D842005] 주석 - 환율변동효과 - 별도 | Notes - Effects of changes in foreign exchange rates - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A26110,[D851100] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements
